RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644400097991	XUI Journeys for all Services	3.3.1
USER	Add Order Scenario	1	START	1644400099102	1644400099102
REQUEST	1		PaymentAPIToken_010_GetAuthToken	1644400099130	1644400099444	OK	 
REQUEST	1		PaymentAPIToken_020_GetServiceToken	1644400099484	1644400099599	OK	 
USER	Add Order Scenario	2	START	1644400105096	1644400105096
REQUEST	2		PaymentAPIToken_010_GetAuthToken	1644400105097	1644400105372	OK	 
REQUEST	2		PaymentAPIToken_020_GetServiceToken	1644400105375	1644400105505	OK	 
REQUEST	1		PaymentAPIOrders_010_AddOrder	1644400109591	1644400110343	OK	 
USER	Add Order Scenario	3	START	1644400111116	1644400111116
REQUEST	3		PaymentAPIToken_010_GetAuthToken	1644400111117	1644400111360	OK	 
REQUEST	3		PaymentAPIToken_020_GetServiceToken	1644400111362	1644400111419	OK	 
REQUEST	2		PaymentAPIOrders_010_AddOrder	1644400115506	1644400116018	OK	 
USER	Add Order Scenario	4	START	1644400117111	1644400117111
REQUEST	4		PaymentAPIToken_010_GetAuthToken	1644400117112	1644400117417	OK	 
REQUEST	4		PaymentAPIToken_020_GetServiceToken	1644400117418	1644400117463	OK	 
USER	Add Order Scenario	1	END	1644400099102	1644400120354
REQUEST	3		PaymentAPIOrders_010_AddOrder	1644400121432	1644400121707	OK	 
USER	Add Order Scenario	5	START	1644400123116	1644400123116
REQUEST	5		PaymentAPIToken_010_GetAuthToken	1644400123117	1644400123378	OK	 
REQUEST	5		PaymentAPIToken_020_GetServiceToken	1644400123379	1644400123425	OK	 
USER	Add Order Scenario	2	END	1644400105096	1644400126026
REQUEST	4		PaymentAPIOrders_010_AddOrder	1644400127476	1644400127680	OK	 
USER	Add Order Scenario	6	START	1644400129096	1644400129096
REQUEST	6		PaymentAPIToken_010_GetAuthToken	1644400129097	1644400129373	OK	 
REQUEST	6		PaymentAPIToken_020_GetServiceToken	1644400129374	1644400129455	OK	 
USER	Add Order Scenario	3	END	1644400111116	1644400131712
REQUEST	5		PaymentAPIOrders_010_AddOrder	1644400133443	1644400133653	OK	 
USER	Add Order Scenario	7	START	1644400135111	1644400135111
REQUEST	7		PaymentAPIToken_010_GetAuthToken	1644400135112	1644400135412	OK	 
REQUEST	7		PaymentAPIToken_020_GetServiceToken	1644400135414	1644400135457	OK	 
USER	Add Order Scenario	4	END	1644400117111	1644400137695
REQUEST	6		PaymentAPIOrders_010_AddOrder	1644400139476	1644400139949	OK	 
USER	Add Order Scenario	8	START	1644400141106	1644400141106
REQUEST	8		PaymentAPIToken_010_GetAuthToken	1644400141107	1644400141376	OK	 
REQUEST	8		PaymentAPIToken_020_GetServiceToken	1644400141377	1644400141425	OK	 
USER	Add Order Scenario	5	END	1644400123116	1644400143662
REQUEST	7		PaymentAPIOrders_010_AddOrder	1644400145476	1644400145663	OK	 
USER	Add Order Scenario	9	START	1644400147110	1644400147110
REQUEST	9		PaymentAPIToken_010_GetAuthToken	1644400147111	1644400147377	OK	 
REQUEST	9		PaymentAPIToken_020_GetServiceToken	1644400147379	1644400147434	OK	 
USER	Add Order Scenario	6	END	1644400129096	1644400149949
REQUEST	8		PaymentAPIOrders_010_AddOrder	1644400151426	1644400151838	OK	 
USER	Add Order Scenario	10	START	1644400153116	1644400153116
REQUEST	10		PaymentAPIToken_010_GetAuthToken	1644400153117	1644400153379	OK	 
REQUEST	10		PaymentAPIToken_020_GetServiceToken	1644400153380	1644400153424	OK	 
USER	Add Order Scenario	7	END	1644400135111	1644400155648
REQUEST	9		PaymentAPIOrders_010_AddOrder	1644400157450	1644400157763	OK	 
USER	Add Order Scenario	8	END	1644400141106	1644400161858
REQUEST	10		PaymentAPIOrders_010_AddOrder	1644400163426	1644400163627	OK	 
USER	Add Order Scenario	9	END	1644400147110	1644400167764
USER	Add Order Scenario	10	END	1644400153116	1644400173652
